metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.01,2,49,10,0.1135,0.114,0.1156,0.1195,0.1961,0.2349,0.2765,0.339,0.3493,0.3992,0.4826,0.5565,0.6231,0.6535,0.6914,0.7138,0.7385,0.7605,0.7742,0.787,0.7978,0.8107,0.82,0.8292,0.8373,0.8424,0.8484,0.8537,0.8594,0.8625,0.8662,0.8701,0.8733,0.8757,0.8781,0.8799,0.8824,0.8837,0.8857,0.8882,0.8903,0.892,0.8936,0.8959,0.898,0.8993,0.9006,0.9021,0.9031,0.9036,0.9055,0.9066,0.9074,0.9082,0.9098,0.9112,0.9119,0.9123,0.9131,0.9141,0.915,0.9157,0.917,0.9176,0.9177,0.9188,0.9198,0.9202,0.9211,0.9216,0.9218,0.9226,0.9231,0.9235,0.925,0.9249,0.9257,0.9263,0.9273,0.9281,0.9277,0.9286,0.9288,0.9296,0.9299,0.9308,0.9311,0.9314,0.9318,0.9322,0.9327,0.9323,0.9328,0.9331,0.9334,0.9334,0.9339,0.9342,0.9342,0.9347,984.4632272720337
FDIPA,0.01,2,49,11,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1127,0.1139,0.1858,0.3111,0.3335,0.3618,0.3827,0.4009,0.4256,0.4613,0.469,0.5066,0.5532,0.5955,0.64,0.6611,0.7126,0.7213,0.7427,0.7659,0.7668,0.7831,0.7968,0.8052,0.811,0.8175,0.8203,0.8281,0.8338,0.8389,0.843,0.8492,0.853,0.8567,0.8614,0.8649,0.8681,0.871,0.8726,0.8741,0.8765,0.879,0.8802,0.883,0.8852,0.8872,0.8886,0.8894,0.8918,0.8929,0.8946,0.8961,0.8979,0.8993,0.9001,0.9018,0.9029,0.9046,0.9053,0.9068,0.908,0.9089,0.9101,0.911,0.9123,0.9123,0.9128,0.9139,0.9144,0.9153,0.9159,0.9162,0.9171,0.917,0.9183,0.9191,0.9185,0.9201,0.921,0.9209,0.921,0.9215,0.9215,0.9231,0.9241,987.539767742157
FDIPA,0.01,2,49,12,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1137,0.1797,0.2969,0.3146,0.3397,0.4078,0.4156,0.4489,0.4724,0.5109,0.5531,0.5954,0.6308,0.6736,0.7139,0.7418,0.7527,0.769,0.779,0.7887,0.7969,0.8054,0.8129,0.8207,0.8288,0.8348,0.8407,0.8459,0.8514,0.857,0.8619,0.8653,0.8677,0.8722,0.8746,0.8763,0.8776,0.8798,0.8821,0.8839,0.8848,0.8861,0.8872,0.8894,0.8901,0.8908,0.8921,0.893,0.8945,0.8957,0.8973,0.8982,0.8996,0.9011,0.9014,0.902,0.9033,0.904,0.9053,0.9068,0.9079,0.9083,0.9084,0.9088,0.9098,0.9102,0.9114,0.9113,0.9121,0.913,0.9132,0.9146,0.9147,0.9158,0.9161,0.9166,0.9174,0.9175,0.9179,0.9191,0.919,0.9204,0.9201,0.921,0.9215,0.9216,1002.6390910148621
FDIPA,0.01,2,49,13,0.2294,0.3445,0.4177,0.4213,0.4991,0.5579,0.6294,0.6735,0.7057,0.7589,0.7794,0.7956,0.8135,0.8244,0.8371,0.8457,0.8536,0.8585,0.8643,0.8693,0.8734,0.8773,0.8823,0.8848,0.8865,0.8891,0.8918,0.8927,0.8947,0.8965,0.8983,0.9001,0.9006,0.9017,0.9032,0.9045,0.9061,0.9071,0.9082,0.9097,0.9112,0.9119,0.9127,0.9131,0.9137,0.914,0.9159,0.9157,0.9164,0.9177,0.9174,0.9188,0.9189,0.9193,0.9204,0.9197,0.9209,0.921,0.9211,0.9213,0.9219,0.9215,0.9226,0.9227,0.9231,0.9236,0.9243,0.9236,0.9245,0.9253,0.9251,0.9248,0.9259,0.9259,0.9263,0.9267,0.927,0.9274,0.9279,0.9283,0.9284,0.929,0.9289,0.9297,0.929,0.9298,0.93,0.9303,0.9313,0.931,0.9312,0.9317,0.9314,0.9321,0.9319,0.9327,0.933,0.9332,0.9332,0.9332,998.0169596672058
FDIPA,0.01,2,49,14,0.2931,0.4635,0.5404,0.6081,0.6559,0.6988,0.7312,0.7571,0.78,0.7948,0.8075,0.8182,0.8272,0.8334,0.8421,0.8483,0.8553,0.8599,0.8636,0.8674,0.8696,0.8733,0.8764,0.8793,0.8821,0.8836,0.8851,0.8863,0.8881,0.8899,0.8913,0.8925,0.8933,0.8944,0.8957,0.8967,0.8978,0.8987,0.8994,0.9003,0.9006,0.9012,0.9016,0.902,0.9032,0.904,0.9039,0.9045,0.9056,0.9051,0.9071,0.9073,0.9076,0.9083,0.9095,0.9098,0.9109,0.9115,0.9123,0.9127,0.9135,0.9136,0.9146,0.9146,0.915,0.9146,0.9159,0.9162,0.9167,0.917,0.9175,0.9173,0.9181,0.9187,0.9191,0.9197,0.9204,0.9207,0.9212,0.9213,0.9213,0.9219,0.9217,0.9223,0.9216,0.9224,0.9229,0.923,0.9226,0.9231,0.9229,0.9235,0.9236,0.9236,0.9241,0.9256,0.9245,0.9241,0.925,0.9253,996.3294115066528
FDIPA,0.01,2,49,15,0.2506,0.428,0.5402,0.6129,0.6646,0.7063,0.7372,0.7635,0.7843,0.7986,0.8078,0.8189,0.8271,0.8339,0.8409,0.8479,0.855,0.8593,0.8643,0.8673,0.8704,0.8742,0.8769,0.8794,0.8816,0.8837,0.8864,0.8875,0.8887,0.8904,0.8919,0.8931,0.894,0.8953,0.8964,0.8969,0.8974,0.8987,0.8996,0.9004,0.9021,0.9018,0.9036,0.905,0.9061,0.9064,0.9074,0.9073,0.9078,0.9084,0.9093,0.9094,0.9099,0.9108,0.9111,0.9124,0.9129,0.9128,0.9134,0.9139,0.9139,0.9147,0.9152,0.9157,0.9157,0.9161,0.9165,0.917,0.9173,0.9173,0.9183,0.9177,0.9178,0.9181,0.9187,0.9191,0.9186,0.9193,0.9197,0.9198,0.9199,0.9199,0.9201,0.9198,0.9209,0.9208,0.9213,0.9214,0.9213,0.9215,0.9223,0.922,0.9229,0.9231,0.9233,0.9231,0.9237,0.9234,0.9233,0.9235,993.3570787906647
FDIPA,0.01,2,49,16,0.1883,0.2822,0.4084,0.483,0.564,0.6374,0.7072,0.7419,0.7701,0.7938,0.8172,0.833,0.848,0.8576,0.8671,0.8728,0.8784,0.8827,0.8864,0.8883,0.8912,0.8937,0.8965,0.8984,0.9008,0.9018,0.9034,0.9044,0.9055,0.9066,0.9079,0.9083,0.9096,0.9102,0.9118,0.9133,0.914,0.9144,0.9154,0.9158,0.916,0.9168,0.9176,0.9182,0.9188,0.9199,0.92,0.92,0.9205,0.9208,0.9217,0.922,0.9221,0.9229,0.9234,0.9237,0.9246,0.9256,0.9257,0.9266,0.9269,0.9277,0.9284,0.9286,0.9292,0.9303,0.9301,0.9309,0.9308,0.9312,0.9317,0.9317,0.9322,0.9323,0.9327,0.9335,0.9321,0.9333,0.9335,0.9333,0.9337,0.934,0.9337,0.9339,0.9345,0.9345,0.9345,0.9352,0.9352,0.9356,0.9356,0.9363,0.9371,0.9376,0.9378,0.9375,0.9381,0.9387,0.9387,0.939,967.1331388950348
FDIPA,0.01,2,49,17,0.3272,0.4497,0.5148,0.5606,0.6304,0.6688,0.7145,0.7421,0.768,0.7855,0.8052,0.8179,0.8328,0.8435,0.8507,0.857,0.8651,0.8691,0.8751,0.8789,0.8825,0.8859,0.8884,0.8903,0.8929,0.8943,0.8963,0.8969,0.8992,0.9005,0.9018,0.9024,0.9036,0.9048,0.9065,0.9078,0.9091,0.9104,0.9111,0.9123,0.9127,0.9126,0.9132,0.914,0.9147,0.9152,0.9159,0.9163,0.9163,0.9173,0.9175,0.9183,0.9189,0.9192,0.92,0.921,0.9216,0.9221,0.9222,0.923,0.9234,0.9247,0.9241,0.9237,0.9248,0.9249,0.9255,0.9253,0.9257,0.9262,0.9264,0.9267,0.9266,0.9273,0.9274,0.9277,0.9276,0.9279,0.9287,0.9288,0.9287,0.9293,0.9296,0.9291,0.9294,0.9302,0.9297,0.9299,0.9299,0.9306,0.9303,0.931,0.9309,0.9311,0.9315,0.9314,0.9318,0.9324,0.932,0.932,966.0794966220856
FDIPA,0.01,2,49,18,0.1145,0.1999,0.3092,0.4499,0.4498,0.5293,0.573,0.6254,0.6619,0.6954,0.7279,0.7582,0.7842,0.8046,0.8213,0.8347,0.8452,0.8527,0.8576,0.8624,0.866,0.8697,0.875,0.8762,0.8788,0.8814,0.8833,0.8848,0.8855,0.8872,0.8894,0.8914,0.8923,0.8943,0.8953,0.8963,0.8976,0.8992,0.9002,0.9021,0.9036,0.9047,0.9055,0.9066,0.9074,0.9094,0.9099,0.9098,0.9111,0.9121,0.9126,0.9131,0.9137,0.9144,0.9157,0.9155,0.9167,0.9175,0.9175,0.9184,0.919,0.9197,0.9202,0.921,0.9215,0.9211,0.9224,0.9222,0.923,0.9236,0.9235,0.924,0.9241,0.9245,0.9256,0.9263,0.9263,0.9265,0.9272,0.9273,0.9275,0.9283,0.929,0.9287,0.9298,0.9297,0.9301,0.9306,0.9307,0.9309,0.9308,0.9307,0.9311,0.9312,0.9311,0.9314,0.9316,0.9314,0.9322,0.9324,963.5082221031189
FDIPA,0.01,2,49,19,0.2965,0.4391,0.5168,0.5789,0.6198,0.6807,0.7092,0.7392,0.7652,0.7855,0.8016,0.8135,0.8243,0.8325,0.8394,0.8452,0.8495,0.8534,0.8584,0.8623,0.8657,0.8686,0.8711,0.8734,0.876,0.8794,0.8816,0.8835,0.8842,0.8856,0.8884,0.8897,0.8914,0.8933,0.8936,0.8958,0.8967,0.8975,0.8989,0.9003,0.9016,0.9023,0.9028,0.9042,0.9051,0.9063,0.9076,0.9079,0.9084,0.9095,0.9095,0.9101,0.9105,0.9108,0.9122,0.9119,0.913,0.9137,0.9148,0.9148,0.9153,0.916,0.9169,0.9165,0.9177,0.9177,0.9185,0.9187,0.919,0.9185,0.9189,0.9195,0.9191,0.9197,0.9196,0.9201,0.9208,0.9205,0.9214,0.9218,0.9224,0.9223,0.9226,0.9233,0.923,0.923,0.9241,0.9238,0.9248,0.9247,0.9249,0.9252,0.9257,0.9258,0.926,0.9265,0.9273,0.9275,0.9273,0.9277,959.4931716918945
FDIPA,0.01,2,49,20,0.114,0.114,0.1171,0.1263,0.1708,0.2102,0.2814,0.3052,0.3421,0.404,0.4687,0.5355,0.6068,0.657,0.6896,0.7268,0.7429,0.7585,0.7723,0.7907,0.8049,0.8217,0.8356,0.8452,0.8545,0.8613,0.8678,0.872,0.8753,0.8785,0.8826,0.8833,0.8866,0.8877,0.8901,0.8917,0.8934,0.8953,0.8971,0.8977,0.899,0.9001,0.9019,0.9021,0.9039,0.9045,0.9054,0.9055,0.9067,0.9076,0.9085,0.9097,0.9113,0.9118,0.9125,0.9139,0.9144,0.9147,0.9152,0.9159,0.9158,0.9167,0.9176,0.9183,0.9187,0.9202,0.9206,0.9216,0.9217,0.9227,0.9235,0.924,0.9235,0.9254,0.9258,0.9256,0.9262,0.9272,0.9271,0.9283,0.928,0.9289,0.9288,0.9293,0.9305,0.9306,0.9308,0.9311,0.9314,0.9315,0.9321,0.9329,0.9327,0.9333,0.9329,0.9331,0.9337,0.934,0.9344,0.9346,954.4229996204376
